ip,mac,vendor,device_type,hostname,os,open_ports,services
192.168.40.90,A0:6F:AA:1D:04:90,LG Innotek,Embedded/Other,,,tcp/3000;tcp/3001;tcp/9998,http (LG smart TV http service);http (LG smart TV http service);distinct32
192.168.40.92,FC:9D:05:5C:14:08,Unknown,Windows-RDP/Workstation,,,tcp/135;tcp/445;tcp/5357,msrpc (Microsoft Windows RPC);microsoft-ds;http (Microsoft HTTPAPI httpd) 2.0
192.168.40.93,C4:FC:22:32:A6:A7,Unknown,VoIP-Phone,,,tcp/443;tcp/5060,http (lighttpd);sip
192.168.40.94,88:AE:DD:61:9C:2A,EliteGroup Computer Systems,Embedded/Other,,,tcp/7070,realserver
192.168.40.97,34:0A:33:9C:3E:F1,D-Link International,Network-Device/Router,,,,
192.168.40.103,74:56:3C:3D:3C:85,Unknown,Embedded/Other,,,tcp/5357,http (Microsoft HTTPAPI httpd) 2.0
192.168.40.115,F0:A7:31:B2:F0:94,Unknown,Embedded/Other,,,tcp/80;tcp/443;tcp/44443,http;https;coldfusion-auth
192.168.40.117,3E:78:95:05:C5:AC,Unknown,Embedded/Other,,,tcp/49152;tcp/62078,tcpwrapped;iphone-sync
192.168.40.118,D8:BB:C1:CE:56:A7,Micro-star Intl,Embedded/Other,,,tcp/5357,http (Microsoft HTTPAPI httpd) 2.0
192.168.40.120,7C:4D:8F:9F:2D:C2,HP Inc.,Printer,,,tcp/135;tcp/139;tcp/445;tcp/7070,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;realserver
192.168.40.123,B0:A7:B9:E7:17:3F,TP-Link Limited,Network-Device/Router,,,tcp/80;tcp/443,http;https
192.168.40.124,74:46:A0:C4:F9:3C,Hewlett Packard,Unidentified,,,,
192.168.40.128,C4:FC:22:32:A9:85,Unknown,VoIP-Phone,,,tcp/443;tcp/5060,http (lighttpd);sip
192.168.40.129,3A:BB:5E:9A:BB:5D,Unknown,Unidentified,,,,
192.168.40.131,EA:99:9D:FA:D2:B3,Unknown,Unidentified,,,,
192.168.40.134,A8:A1:59:E7:94:5F,ASRock Incorporation,Embedded/Other,,,tcp/7070,realserver
192.168.40.141,B4:B8:53:1A:AC:9F,Unknown,Unidentified,,,,
192.168.40.145,50:EB:F6:21:BA:5F,Unknown,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/5050;tcp/5051;tcp/5357;tcp/7070,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;mmcc;ida-agent;http (Microsoft HTTPAPI httpd) 2.0;realserver
192.168.40.146,40:7A:A4:C6:B3:CC,Unknown,Embedded/Other,,,tcp/80,http
192.168.40.147,9C:69:D3:2A:19:BF,Unknown,Unidentified,,,,
192.168.40.149,0A:E8:D6:74:C5:A3,Unknown,Unidentified,,,,
192.168.40.150,3E:78:95:05:C5:AC,Unknown,Unidentified,,,,
192.168.40.153,22:21:50:39:2F:94,Unknown,Unidentified,,,,
192.168.40.155,BC:32:5F:72:AB:79,Zhejiang Dahua Technology,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/1935;tcp/8086,http;rtsp;rtmp;d-s-n
192.168.40.157,18:60:24:7F:08:62,Hewlett Packard,Embedded/Other,,,tcp/6881;tcp/7070,bittorrent-tracker;realserver
192.168.40.159,C4:FC:22:32:C7:67,Unknown,VoIP-Phone,,,tcp/443;tcp/5060,http (lighttpd);sip
192.168.40.163,30:13:8B:4A:9C:C3,Unknown,Printer,,,tcp/80;tcp/443;tcp/515;tcp/631;tcp/8080;tcp/9100,http;https;printer;ipp;http-proxy;jetdirect
192.168.40.164,AC:15:A2:8D:0C:36,Unknown,Embedded/Other,,,tcp/80;tcp/443,http;https
192.168.40.165,C0:BF:BE:A7:F9:7D,Unknown,Embedded/Other,,,tcp/7070,realserver
192.168.40.167,2A:75:F3:D2:F7:07,Unknown,Unidentified,,,,
192.168.40.170,2A:CE:FA:BF:CF:91,Unknown,Unidentified,,,,
192.168.40.172,C6:2D:71:D9:95:40,Unknown,Unidentified,,,,
192.168.40.175,00:BB:C1:FC:26:CC,Canon,Printer,,,tcp/21;tcp/80;tcp/515;tcp/631;tcp/9100,ftp;tcpwrapped;printer;tcpwrapped;jetdirect
192.168.40.178,8C:E9:EE:7F:FB:ED,Unknown,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/1947;tcp/2968;tcp/7070,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;sentinelsrm;enpp;realserver
192.168.40.180,3E:78:95:05:C5:AC,Unknown,Unidentified,,,,
192.168.40.181,F6:00:A7:CE:0D:43,Unknown,Unidentified,,,,
192.168.40.184,2C:AB:25:FF:27:49,Shenzhen Gongjin Electronics,Industrial-Controller,,,,
192.168.40.188,3E:78:95:05:C5:AC,Unknown,Embedded/Other,,,tcp/80;tcp/443,http;https
192.168.40.189,40:7A:A4:C6:9F:4B,Unknown,Embedded/Other,,,tcp/80,http
192.168.40.190,98:25:4A:C9:F4:CC,Unknown,Embedded/Other,,,tcp/80;tcp/443;tcp/44443,http;https;coldfusion-auth
192.168.40.192,92:5A:E2:88:06:87,Unknown,Unidentified,,,,
192.168.40.193,0A:9A:4C:77:16:45,Unknown,Unidentified,,,,
192.168.40.194,54:EA:E1:1D:F2:D1,Unknown,Unidentified,,,,
192.168.40.195,40:7A:A4:C6:B1:A5,Unknown,Embedded/Other,,,tcp/80,http
192.168.40.201,BC:22:28:FC:AB:44,D-Link International,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/555;tcp/3389;tcp/5432;tcp/8080,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;dsf;ms-wbt-server;postgresql;http-proxy
192.168.40.202,04:42:1A:E9:C7:A5,Asustek Computer,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/555;tcp/3389;tcp/5432;tcp/7070;tcp/8080;tcp/20000,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;dsf;ms-wbt-server (Microsoft Terminal Services);postgresql;realserver;http-proxy;soap (gSOAP) 2.8
192.168.40.211,00:0D:E0:81:76:27,Icpdas,Industrial-Controller,,,tcp/80;tcp/10000;tcp/10001;tcp/10002,http;snet-sensor-mgmt;scp-config;documentum
192.168.40.212,00:0D:E0:81:81:7B,Icpdas,Industrial-Controller,,,tcp/80;tcp/10000;tcp/10001;tcp/10002;tcp/10003,http;snet-sensor-mgmt;scp-config;documentum;documentum_s
192.168.40.213,28:C5:C8:72:34:99,Unknown,Printer,,,tcp/80;tcp/443;tcp/515;tcp/631;tcp/8080;tcp/9100,http (nginx);http (nginx);printer;http (nginx);http (nginx);jetdirect
192.168.40.215,D8:50:E6:D4:B6:37,Asustek Computer,Windows-RDP/Workstation,,,tcp/80;tcp/135;tcp/445;tcp/1234;tcp/5357;tcp/7070;tcp/8081,http;msrpc (Microsoft Windows RPC);microsoft-ds;websocket (Ogar agar.io server);http (Microsoft HTTPAPI httpd) 2.0;realserver;blackice-icecap
192.168.40.228,C0:74:AD:3D:32:AF,Grandstream Networks,VoIP-Phone,,,tcp/22;tcp/80,ssh (Dropbear sshd) 2018.76;http (mini_httpd) 1.30 26Oct2018
192.168.40.230,C0:74:AD:3D:32:96,Grandstream Networks,VoIP-Phone,,,tcp/22;tcp/80,ssh (Dropbear sshd) 2018.76;http (mini_httpd) 1.30 26Oct2018
192.168.40.233,EC:8E:B5:21:53:A1,Hewlett Packard,Printer,,,tcp/80;tcp/515;tcp/631;tcp/8080;tcp/9100,http (HP LaserJet Pro MFP config httpd);printer;ipp;http (HP LaserJet Pro MFP config httpd);jetdirect
192.168.40.234,F0:23:B9:5D:CD:3F,Ieee Registration Authority,IP-Camera/NVR,,,tcp/21;tcp/23;tcp/80;tcp/554;tcp/1935;tcp/6000;tcp/49152,ftp (oftpd);telnet (security DVR telnetd);tcpwrapped;rtsp;rtmp;X11;upnp (Portable SDK for UPnP devices) 1.6.17
192.168.40.235,9C:AE:D3:08:15:11,Seiko Epson,Printer,erproc.erb,,tcp/80;tcp/139;tcp/443;tcp/445;tcp/515;tcp/631;tcp/9100,upnp (Epson WorkForce WF-2540 printer UPnP);netbios-ssn;https;microsoft-ds (Epson WF-2650 printer smbd);printer;upnp (Epson WorkForce WF-2540 printer UPnP);jetdirect
192.168.40.236,64:4E:D7:62:72:AD,HP Inc.,Printer,,,tcp/80;tcp/443;tcp/515;tcp/631;tcp/8080;tcp/9100,http (nginx);http (nginx);printer;http (nginx);http (nginx);jetdirect
192.168.40.240,9C:AE:D3:B5:C2:78,Seiko Epson,Printer,,,tcp/80;tcp/139;tcp/443;tcp/445;tcp/515;tcp/631;tcp/9100,tcpwrapped;netbios-ssn;tcpwrapped;microsoft-ds (Epson WF-2650 printer smbd);printer;tcpwrapped;jetdirect
192.168.40.241,BC:5E:33:5B:90:96,Unknown,Web/App-Server,,,tcp/8000,http-alt
192.168.40.242,BC:5E:33:5A:B9:81,Unknown,Web/App-Server,,,tcp/8000,http-alt
192.168.40.243,B4:22:00:CC:50:66,Brother Industries,Printer,,,tcp/80;tcp/443;tcp/515;tcp/631;tcp/9100,http (Debut embedded httpd) 1.30;http (Debut embedded httpd) 1.30;printer;http (Debut embedded httpd) 1.30;jetdirect
192.168.40.244,BC:5E:33:5A:B8:74,Unknown,Web/App-Server,,,tcp/8000,http-alt
192.168.40.245,BC:5E:33:5A:B9:2A,Unknown,Web/App-Server,,,tcp/8000,http-alt
192.168.40.247,28:C5:C8:DD:B3:91,Unknown,Printer,,,tcp/80;tcp/443;tcp/515;tcp/631;tcp/8080;tcp/9100,http (nginx);http (nginx);printer;http (nginx);http (nginx);jetdirect
192.168.40.248,24:FB:E3:0E:C8:46,Unknown,Printer,,,tcp/80;tcp/443;tcp/515;tcp/631;tcp/8080;tcp/9100,http (nginx);http (nginx);printer;http (nginx);http (nginx);jetdirect
192.168.40.251,D8:5E:D3:E2:6B:10,Giga-byte Technology,Windows-Workstation/Server,,,tcp/80;tcp/135;tcp/139;tcp/445;tcp/3389;tcp/5432;tcp/7070;tcp/8181,http (Microsoft IIS httpd) 10.0;msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;ms-wbt-server (Microsoft Terminal Services);postgresql;realserver;intermapper
192.168.40.254,,,Embedded/Other,tpt14g1-fedora,,tcp/7070,realserver
192.168.41.10,00:12:41:84:D0:82,a2i marketing center,Industrial-Controller,,,tcp/80;tcp/554;tcp/8180,http;rtsp (H264DVR rtspd) 1.0;tcpwrapped
192.168.41.17,00:12:42:01:30:47,Millennial Net,Industrial-Controller,,,tcp/80;tcp/554,http;rtsp (H264DVR rtspd) 1.0
192.168.41.18,E8:9C:25:7C:C5:C4,Unknown,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/5357,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;http (Microsoft HTTPAPI httpd) 2.0
192.168.41.31,F8:CE:07:BF:EA:6A,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.33,D4:43:0E:62:0A:45,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.34,FC:9F:FD:4F:EC:BC,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.35,24:32:AE:FA:38:F5,"Hangzhou Hikvision Digital Technology Co.,Ltd.",IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.36,00:12:31:5F:8E:1C,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.37,00:5A:20:51:12:4F,Unknown,IP-Camera/NVR,,,tcp/23;tcp/80;tcp/554;tcp/2000;tcp/5000;tcp/5050;tcp/5051;tcp/8000,telnet (security DVR telnetd);http;rtsp;soap (gSOAP) 2.8;upnp;mmcc;tcpwrapped;ipcam (Hikvision IPCam control port)
192.168.41.38,BC:5E:33:90:13:D7,Unknown,IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.39,00:12:17:DF:F2:34,Cisco-Linksys,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8899,http (uc-httpd) 1.0.0;rtsp (H264DVR rtspd) 1.0;soap (gSOAP) 2.7
192.168.41.40,BC:5E:33:90:13:3C,Unknown,IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.41,24:52:6A:83:20:56,Zhejiang Dahua Technology,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.42,00:12:17:DF:AB:38,Cisco-Linksys,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http (uc-httpd) 1.0.0;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.43,00:12:17:DF:F0:B6,Cisco-Linksys,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8899,http (uc-httpd) 1.0.0;rtsp (H264DVR rtspd) 1.0;soap (gSOAP) 2.7
192.168.41.44,F8:CE:07:6D:FD:60,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.45,00:12:17:DF:8A:ED,Cisco-Linksys,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http (uc-httpd) 1.0.0;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.46,6C:1C:71:CD:CF:62,Zhejiang Dahua Technology,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/1935,http;rtsp;rtmp
192.168.41.47,FC:9F:FD:4F:ED:A1,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.48,D4:43:0E:62:0A:63,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.49,B4:4C:3B:50:79:2D,Zhejiang Dahua Technology,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/1935,http;rtsp;rtmp
192.168.41.50,F8:CE:07:38:10:56,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.51,D4:43:0E:07:07:71,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.52,F8:CE:07:BF:E2:E4,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.53,00:12:31:03:70:DB,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http (uc-httpd) 1.0.0;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.54,BC:5E:33:90:13:B3,Unknown,IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.55,FC:9F:FD:45:70:B7,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.56,00:12:31:73:66:71,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.57,D4:43:0E:62:0A:6C,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.58,24:32:AE:FA:38:C7,"Hangzhou Hikvision Digital Technology Co.,Ltd.",IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.59,D4:43:0E:62:0A:6D,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.60,F8:CE:07:BF:E6:A5,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.61,F8:CE:07:38:20:02,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.62,00:12:33:B5:8E:91,JRC Tokki,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;ospf-lite
192.168.41.63,00:12:33:B5:8E:0A,JRC Tokki,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;ospf-lite
192.168.41.68,00:12:31:73:66:5B,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.69,00:12:33:B5:8E:4A,JRC Tokki,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;ospf-lite
192.168.41.70,00:12:31:73:6B:BB,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.71,00:12:31:73:6C:6B,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.72,00:12:33:B5:8C:3A,JRC Tokki,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;ospf-lite
192.168.41.73,00:12:31:60:A5:52,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.74,00:12:31:73:78:CD,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
192.168.41.75,C4:AA:C4:1F:3E:A3,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.76,BC:5E:33:90:13:C9,Unknown,IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.77,F8:CE:07:BF:E2:C3,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.78,D0:22:12:DA:1E:51,Ieee Registration Authority,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/2000;tcp/5000;tcp/5050;tcp/5051;tcp/8000,http;rtsp;soap (gSOAP) 2.8;upnp;mmcc;tcpwrapped;ipcam (Hikvision IPCam control port)
192.168.41.79,D0:22:12:DA:61:5E,Ieee Registration Authority,IP-Camera/NVR,,,tcp/23;tcp/80;tcp/554;tcp/2000;tcp/5000;tcp/5050;tcp/5051;tcp/8000,telnet (security DVR telnetd);http;rtsp;soap (gSOAP) 2.8;upnp;mmcc;tcpwrapped;ipcam (Hikvision IPCam control port)
192.168.41.87,FC:9F:FD:4F:ED:99,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.88,3C:E3:6B:94:3A:8A,Zhejiang Dahua Technology,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.89,D4:43:0E:62:0A:61,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.90,BC:5E:33:90:13:BF,Unknown,IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.91,24:32:AE:FA:39:50,"Hangzhou Hikvision Digital Technology Co.,Ltd.",IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.92,24:32:AE:FA:39:90,"Hangzhou Hikvision Digital Technology Co.,Ltd.",IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.93,24:32:AE:FA:38:C9,"Hangzhou Hikvision Digital Technology Co.,Ltd.",IP-Camera/NVR,,,tcp/80;tcp/443;tcp/554;tcp/8000,http;https;rtsp;tcpwrapped
192.168.41.94,F8:CE:07:BF:E5:B1,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554,http;rtsp
192.168.41.95,FC:9F:FD:4F:ED:89,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8000,http;rtsp;tcpwrapped
192.168.41.96,D4:43:0E:07:07:78,Unknown,IP-Camera/NVR,,,tcp/80;tcp/554;tcp/8086,http;rtsp;d-s-n
192.168.41.97,00:12:31:5F:8F:84,Motion Control Systems,Industrial-Controller,,,tcp/80;tcp/554;tcp/8000;tcp/8899,http;rtsp (H264DVR rtspd) 1.0;http-alt;soap (gSOAP) 2.7
